date,location,daily_vaccinations
2020-12-21,United States,57909.0
2020-12-22,United States,127432.0
2020-12-23,United States,150606.0
2020-12-24,United States,191001.0
2020-12-25,United States,215238.0
2020-12-26,United States,231396.0
2020-12-27,United States,211379.0
2020-12-28,United States,216147.0
2020-12-29,United States,235685.0
2020-12-30,United States,255223.0
2020-12-31,United States,278776.0
2021-01-01,United States,302329.0
2021-01-02,United States,325882.0
2021-01-03,United States,336949.0
2021-01-04,United States,348017.0
2021-01-05,United States,339372.0
2021-01-06,United States,358887.0
2021-01-07,United States,378253.0
2021-01-08,United States,419933.0
2021-01-09,United States,461263.0
2021-01-10,United States,546636.0
2021-01-11,United States,632009.0
2021-01-12,United States,641524.0
2021-01-13,United States,710238.0
2021-01-14,United States,747082.0
2021-01-15,United States,798707.0
2021-01-16,United States,811670.0
2021-01-17,United States,824632.0
2021-01-18,United States,837595.0
2021-01-19,United States,911493.0
2021-01-20,United States,892403.0
2021-01-21,United States,913912.0
2021-01-22,United States,975540.0
2021-01-23,United States,1057387.0
2021-01-24,United States,1122182.0
2021-01-25,United States,1126251.0
2021-01-26,United States,1119058.0
2021-01-27,United States,1161050.0
2021-01-28,United States,1235330.0
2021-01-29,United States,1253815.0
2021-01-30,United States,1291416.0
2021-01-31,United States,1324949.0
2021-02-01,United States,1355451.0
2021-02-02,United States,1319981.0
2021-02-03,United States,1317946.0
2021-02-04,United States,1287147.0
2021-02-05,United States,1276364.0
2021-02-06,United States,1351437.0
2021-02-07,United States,1441091.0
2021-02-08,United States,1456459.0
2021-02-09,United States,1489333.0
2021-02-10,United States,1555959.0
2021-02-11,United States,1598080.0
2021-02-12,United States,1655907.0
2021-02-13,United States,1657703.0
2021-02-14,United States,1667631.0
2021-02-15,United States,1662106.0
2021-02-16,United States,1716311.0
2021-02-17,United States,1644551.0
2021-02-18,United States,1621071.0
2021-02-19,United States,1596355.0
2021-02-20,United States,1521088.0
2021-02-21,United States,1458040.0
2021-02-22,United States,1446445.0
2021-02-23,United States,1401674.0
2021-02-24,United States,1454731.0
2021-02-25,United States,1505193.0
2021-02-26,United States,1552717.0
2021-02-27,United States,1645240.0
2021-02-28,United States,1735053.0
2021-03-01,United States,1817502.0
2021-03-02,United States,1942788.0
2021-03-03,United States,2010790.0
2021-03-04,United States,2042676.0
2021-03-05,United States,2079147.0
2021-03-06,United States,2158020.0
2021-03-07,United States,2159392.0
2021-03-08,United States,2169981.0
2021-03-09,United States,2151571.0
2021-03-10,United States,2168688.0
2021-03-11,United States,2233006.0
2021-03-12,United States,2302844.0
2021-03-13,United States,2541597.0
2021-03-14,United States,2386932.0
2021-03-15,United States,2427430.0
2021-03-16,United States,2435037.0
2021-03-17,United States,2473762.0
2021-03-18,United States,2503731.0
2021-03-19,United States,2455116.0
2021-03-20,United States,2248285.0
2021-03-21,United States,2488734.0
2021-03-22,United States,2489697.0
2021-03-23,United States,2497025.0
2021-03-24,United States,2490889.0
2021-03-25,United States,2510755.0
2021-03-26,United States,2624410.0
2021-03-27,United States,2677034.0
2021-03-28,United States,2711611.0
2021-03-29,United States,2757586.0
2021-03-30,United States,2769331.0
2021-03-31,United States,2828491.0
2021-04-01,United States,2903730.0
2021-04-02,United States,2988825.0
2021-04-03,United States,3072527.0
2021-04-04,United States,3084436.0
2021-04-05,United States,3053566.0
2021-04-06,United States,2998533.0
2021-04-07,United States,3029052.0
2021-04-08,United States,3035473.0
2021-04-09,United States,3033045.0
2021-04-10,United States,3111327.0
2021-04-11,United States,3141912.0
2021-04-12,United States,3214893.0
2021-04-13,United States,3384387.0
2021-04-14,United States,3330740.0
2021-04-15,United States,3348189.0
